State Abbreviation,Name,Release Year,High school graduation raw value,Unemployment raw value,Some college raw value,Ratio of population to mental health providers,Median household income raw value,Average Temperature,Average Precipitation,RUCC,Poor mental health days raw value,Crude Rate,high_school_treated,unemployment_treated,college_treated,mental_health_provider_treated,household_income_treated,temperature_treated,precipitation_treated
FL,Highlands County,2011,0.6679999999999999,0.111,0.417,14148.0,33703.0,73.51666666666667,3.5625,3.0,4.7,16.3,0,0,0,0,0,0,0
FL,Hillsborough County,2011,0.7040000000000001,0.107,0.615,2617.0,49762.0,73.14166666666667,4.484166666666667,1.0,3.9,13.0,0,0,1,0,1,0,0
FL,Indian River County,2011,0.726,0.13,0.537,4974.0,48267.0,73.54166666666667,4.3225,3.0,3.6,11.5,0,0,0,0,0,0,0
FL,Lake County,2011,0.764,0.111,0.528,11845.0,45517.0,72.2,3.9891666666666654,1.0,3.8,15.7,0,0,0,0,0,0,0
FL,Lee County,2011,0.7040000000000001,0.124,0.541,5607.0,50863.0,75.50833333333333,4.111666666666666,2.0,3.7,17.8,0,0,0,0,1,0,0
FL,Leon County,2011,0.731,0.07,0.722,1462.0,47318.0,67.99166666666666,3.0333333333333328,2.0,3.0,10.4,0,1,1,1,0,0,1
FL,Manatee County,2011,0.706,0.115,0.5379999999999999,4452.0,46573.0,73.18333333333334,3.889166666666666,2.0,3.5,16.8,0,0,0,0,0,0,0
FL,Marion County,2011,0.643,0.129,0.472,5363.0,40266.0,71.19166666666666,4.079166666666667,2.0,4.7,20.5,0,0,0,0,0,0,0
FL,Martin County,2011,0.725,0.111,0.581,3759.0,52743.0,74.87499999999999,3.785,2.0,2.7,26.4,0,0,0,0,1,0,0
FL,Miami-Dade County,2011,0.564,0.107,0.5589999999999999,2172.0,43921.0,76.54166666666666,4.660833333333334,1.0,3.4,8.3,0,0,0,0,0,0,0
FL,Monroe County,2011,0.6920000000000001,0.07,0.612,4312.0,52908.0,76.75833333333333,4.3375,4.0,3.6,32.4,0,1,1,0,1,0,0
FL,Nassau County,2011,0.732,0.096,0.471,6347.0,59514.0,69.05833333333335,3.744166666666666,1.0,3.4,20.2,0,0,0,0,1,0,0
FL,Okaloosa County,2011,0.8140000000000001,0.072,0.65,5280.0,54420.0,67.28333333333335,3.799166666666668,3.0,3.3,17.5,0,1,1,0,1,0,0
